Item,Description,Qty,Price(€),URL,Total
DC Power Jack ,Socket DC Connectors,1,1.46,"https://www.aliexpress.com/item/4001206395694.html?pdp_ext_f=%7B""order""%3A""3096""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",1.46
DC 12V Dosing Pump,Peristaltic Pump,2,6.38,https://www.aliexpress.com/item/1005006671106432.html?src=google&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006671106432&ds_e_product_merchant_id=5072064461&ds_e_product_country=IE&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22476408939&albag=&isSmbAutoCall=false&needSmbHouyi=false,6.38
ESP32 Development Board, CH340C,1,5.32,"https://www.aliexpress.com/item/1005008806241325.html?aem_p4p_detail=2026053113125210174717901627580003672612&pdp_ext_f=%7B""order""%3A""347""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&search_p4p_id=2026053113125210174717901627580003672612_3",5.32
LM2596 Chip,DC Converter,1,0.82,"https://www.aliexpress.com/item/1005006277955527.html?pdp_ext_f=%7B""order""%3A""206""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",0.82
AMS1117-3.3,3.3V regulator,1,1.48,"https://www.aliexpress.com/item/1005007537334074.html?aem_p4p_detail=202605311333132605134097347480003771266&pdp_ext_f=%7B""order""%3A""3414""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&search_p4p_id=202605311333132605134097347480003771266_1",1.48
16V 100µF electrolytic capacitor,Capacitor,1,1.94,"https://www.aliexpress.com/item/1005008942188885.html?pdp_ext_f=%7B""order""%3A""2809""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",1.94
100NF ceramic capacitor ,Decoupling,1,2.72,"https://www.aliexpress.com/item/1005011747293156.html?pdp_ext_f=%7B""order""%3A""1424""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",2.72
Food-grade silicone tubing,ID 4mm x 5mm OD,1,0.99,"https://www.aliexpress.com/item/1005001482213878.html?aem_p4p_detail=2026053113424614320627259427830003738309&pdp_ext_f=%7B""order""%3A""13815""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&search_p4p_id=2026053113424614320627259427830003738309_1",0.99
2-pin screw terminals,2P,2,2.24,"https://www.aliexpress.com/item/32246655621.html?pdp_ext_f=%7B""order""%3A""84""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",4.48
IRLZ44N,logic-level N-channel MOSFETs,1,3.04,"https://www.aliexpress.com/item/1005007132690493.html?aem_p4p_detail=202605311349033395446432512200003379633&pdp_ext_f=%7B""order""%3A""1680""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&search_p4p_id=202605311349033395446432512200003379633_2",3.04
Flyback Diodes,1N4007,1,1.72,"https://www.aliexpress.com/item/1005009923993443.html?pdp_ext_f=%7B""order""%3A""2163""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",1.72
100Ω gate resistors,Gate Resistors,2,Owned,Null,Owned
10kΩ pull-down resistors,Pull Down Resistors,2,Owned,Null,Owned
momentary pushbutton,6mm tactile switch,1,Owned,Null,Owned
Potentiometer Bourns 3386P Vertical,10K Ohms,1,2.16,"https://www.aliexpress.com/item/1005006778849942.html?pdp_ext_f=%7B""order""%3A""131""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D",2.16
LED,RED,1,Owned,Null,Owned
220Ω resistor,resistor,1,Owned,Null,Owned
PCB,Water Dispenser PCB,5,11.79,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010&spm=Jlcpcb.Instantquote.1008&_t=1780261989901&up_spm=Jlcpcb.Loginpage.1003,11.79
,,,,,
,,,,Shipping,6.44
,,,Orginal prices above,Total,50.74
